product_id,category,product_name,brand,unit_price
product_0001,家居用品,产品1,品牌E,1796.91
product_0002,家居用品,产品2,品牌B,1062.63
product_0003,服装服饰,产品3,品牌A,810.71
product_0004,电子产品,产品4,品牌A,4896.76
product_0005,图书文具,产品5,品牌D,169.56
product_0006,服装服饰,产品6,品牌C,873.64
product_0007,图书文具,产品7,品牌D,87.52
product_0008,电子产品,产品8,品牌D,2803.44
product_0009,家居用品,产品9,品牌D,522.7
product_0010,家居用品,产品10,品牌D,408.3
product_0011,电子产品,产品11,品牌E,2576.99
product_0012,服装服饰,产品12,品牌E,615.3
product_0013,电子产品,产品13,品牌B,1762.43
product_0014,电子产品,产品14,品牌A,2890.27
product_0015,美妆个护,产品15,品牌D,889.71
product_0016,服装服饰,产品16,品牌B,578.89
product_0017,食品饮料,产品17,品牌A,361.8
product_0018,服装服饰,产品18,品牌C,815.05
product_0019,运动户外,产品19,品牌E,2966.75
product_0020,运动户外,产品20,品牌A,1829.43
product_0021,图书文具,产品21,品牌C,163.3
product_0022,家居用品,产品22,品牌A,1926.05
product_0023,家居用品,产品23,品牌E,1889.93
product_0024,服装服饰,产品24,品牌E,184.03
product_0025,美妆个护,产品25,品牌B,418.26
product_0026,食品饮料,产品26,品牌D,165.38
product_0027,美妆个护,产品27,品牌A,105.19
product_0028,电子产品,产品28,品牌A,3202.88
product_0029,运动户外,产品29,品牌C,2220.92
product_0030,美妆个护,产品30,品牌E,851.17
product_0031,服装服饰,产品31,品牌A,166.64
product_0032,电子产品,产品32,品牌E,4394.58
product_0033,运动户外,产品33,品牌A,1946.63
product_0034,图书文具,产品34,品牌B,143.75
product_0035,食品饮料,产品35,品牌D,455.76
product_0036,电子产品,产品36,品牌A,3161.33
product_0037,食品饮料,产品37,品牌E,171.25
product_0038,服装服饰,产品38,品牌B,833.85
product_0039,电子产品,产品39,品牌A,1878.99
product_0040,电子产品,产品40,品牌C,267.72
product_0041,食品饮料,产品41,品牌D,416.17
product_0042,运动户外,产品42,品牌A,1068.32
product_0043,家居用品,产品43,品牌B,1552.19
product_0044,服装服饰,产品44,品牌C,394.62
product_0045,食品饮料,产品45,品牌B,431.23
product_0046,服装服饰,产品46,品牌B,258.53
product_0047,食品饮料,产品47,品牌C,487.4
product_0048,家居用品,产品48,品牌B,1563.92
product_0049,服装服饰,产品49,品牌C,158.53
product_0050,家居用品,产品50,品牌A,1140.24
product_0051,服装服饰,产品51,品牌C,986.1
product_0052,运动户外,产品52,品牌C,1439.64
product_0053,家居用品,产品53,品牌D,380.57
product_0054,服装服饰,产品54,品牌C,510.54
product_0055,食品饮料,产品55,品牌C,258.67
product_0056,服装服饰,产品56,品牌A,754.6
product_0057,家居用品,产品57,品牌D,1403.71
product_0058,美妆个护,产品58,品牌E,414.5
product_0059,图书文具,产品59,品牌A,51.42
product_0060,电子产品,产品60,品牌A,3260.77
product_0061,美妆个护,产品61,品牌E,433.27
product_0062,图书文具,产品62,品牌C,35.13
product_0063,服装服饰,产品63,品牌B,905.54
product_0064,电子产品,产品64,品牌D,3486.99
product_0065,食品饮料,产品65,品牌B,343.18
product_0066,图书文具,产品66,品牌E,166.29
product_0067,家居用品,产品67,品牌A,1068.73
product_0068,食品饮料,产品68,品牌A,408.45
product_0069,食品饮料,产品69,品牌D,251.55
product_0070,电子产品,产品70,品牌A,429.16
product_0071,服装服饰,产品71,品牌A,434.99
product_0072,服装服饰,产品72,品牌D,522.59
product_0073,运动户外,产品73,品牌D,2174.6
product_0074,电子产品,产品74,品牌E,622.24
product_0075,图书文具,产品75,品牌A,36.6
product_0076,运动户外,产品76,品牌A,827.87
product_0077,食品饮料,产品77,品牌E,136.92
product_0078,服装服饰,产品78,品牌C,745.58
product_0079,食品饮料,产品79,品牌C,129.11
product_0080,电子产品,产品80,品牌C,3202.18
product_0081,食品饮料,产品81,品牌E,249.67
product_0082,电子产品,产品82,品牌A,2909.14
product_0083,服装服饰,产品83,品牌E,846.2
product_0084,食品饮料,产品84,品牌E,205.17
product_0085,电子产品,产品85,品牌C,3877.47
product_0086,服装服饰,产品86,品牌B,450.93
product_0087,运动户外,产品87,品牌A,1093.92
product_0088,运动户外,产品88,品牌C,2877.95
product_0089,图书文具,产品89,品牌B,45.03
product_0090,运动户外,产品90,品牌B,316.49
product_0091,家居用品,产品91,品牌D,1546.55
product_0092,服装服饰,产品92,品牌A,114.84
product_0093,服装服饰,产品93,品牌B,845.23
product_0094,服装服饰,产品94,品牌C,465.33
product_0095,美妆个护,产品95,品牌D,917.2
product_0096,图书文具,产品96,品牌A,147.09
product_0097,家居用品,产品97,品牌E,1228.6
product_0098,家居用品,产品98,品牌C,1899.63
product_0099,美妆个护,产品99,品牌B,408.72
product_0100,电子产品,产品100,品牌B,4775.03
