user_id,behavior_type,category,timestamp
14038.0,pv,电子产品,2025-01-01 00:02:32
11709.0,fav,电子产品,2025-01-01 00:04:47
14292.0,pv,食品饮料,2025-01-01 00:06:52
14987.0,pv,服装鞋帽,2025-01-01 00:07:17
11711.0,pv,,2025-01-01 00:07:36
12368.0,pv,电子产品,2025-01-01 00:12:32
,fav,食品饮料,2025-01-01 00:14:14
14664.0,pv,美妆护肤,2025-01-01 00:20:45
14631.0,pv,电子产品,2025-01-01 00:22:00
12626.0,pv,食品饮料,2025-01-01 00:23:03
10256.0,pv,食品饮料,2025-01-01 00:34:20
13609.0,pv,美妆护肤,2025-01-01 00:37:58
14335.0,pv,服装鞋帽,2025-01-01 00:38:09
11463.0,fav,运动户外,2025-01-01 00:43:41
11725.0,pv,运动户外,2025-01-01 00:43:51
10535.0,cart,家居用品,2025-01-01 00:45:47
12503.0,pv,美妆护肤,2025-01-01 00:52:49
11875.0,pv,服装鞋帽,2025-01-01 00:54:10
12421.0,pv,美妆护肤,2025-01-01 00:54:28
11760.0,pv,服装鞋帽,2025-01-01 00:55:25
12860.0,buy,电子产品,2025-01-01 00:56:04
14784.0,pv,运动户外,2025-01-01 00:58:26
14578.0,fav,运动户外,2025-01-01 00:59:43
12465.0,pv,家居用品,2025-01-01 01:02:54
14562.0,cart,电子产品,2025-01-01 01:05:16
14626.0,cart,服装鞋帽,2025-01-01 01:08:17
12115.0,pv,家居用品,2025-01-01 01:08:40
14670.0,pv,服装鞋帽,2025-01-01 01:10:41
12461.0,pv,电子产品,2025-01-01 01:13:05
11077.0,pv,电子产品,2025-01-01 01:18:03
14811.0,pv,家居用品,2025-01-01 01:19:00
11394.0,pv,家居用品,2025-01-01 01:20:14
11531.0,pv,服装鞋帽,2025-01-01 01:22:01
13257.0,pv,服装鞋帽,2025-01-01 01:24:27
11956.0,pv,电子产品,2025-01-01 01:26:52
10166.0,pv,服装鞋帽,2025-01-01 01:28:27
12477.0,fav,食品饮料,2025-01-01 01:32:02
11866.0,fav,电子产品,2025-01-01 01:32:08
13379.0,pv,运动户外,2025-01-01 01:36:10
11678.0,cart,美妆护肤,2025-01-01 01:36:19
12593.0,pv,家居用品,2025-01-01 01:41:00
10179.0,pv,食品饮料,2025-01-01 01:42:12
10058.0,pv,食品饮料,2025-01-01 01:44:05
11677.0,pv,,2025-01-01 01:49:46
13775.0,pv,电子产品,2025-01-01 01:51:42
14150.0,cart,食品饮料,2025-01-01 01:56:48
10999.0,pv,美妆护肤,2025-01-01 02:03:25
10840.0,buy,运动户外,2025-01-01 02:04:41
13727.0,pv,运动户外,2025-01-01 02:05:44
14114.0,pv,食品饮料,2025-01-01 02:12:34
11743.0,fav,运动户外,2025-01-01 02:18:38
14581.0,pv,美妆护肤,2025-01-01 02:22:51
12333.0,pv,家居用品,2025-01-01 02:23:22
10136.0,pv,家居用品,2025-01-01 02:26:20
10616.0,pv,服装鞋帽,2025-01-01 02:31:06
11756.0,pv,电子产品,2025-01-01 02:31:33
13897.0,pv,服装鞋帽,2025-01-01 02:31:43
11688.0,pv,美妆护肤,2025-01-01 02:31:55
11473.0,pv,服装鞋帽,2025-01-01 02:44:12
13806.0,fav,家居用品,2025-01-01 02:46:54
14969.0,cart,电子产品,2025-01-01 02:52:46
10762.0,cart,服装鞋帽,2025-01-01 02:56:50
10795.0,fav,美妆护肤,2025-01-01 02:56:59
11728.0,cart,食品饮料,2025-01-01 03:05:25
10443.0,pv,,2025-01-01 03:06:15
11880.0,pv,美妆护肤,2025-01-01 03:07:25
14291.0,pv,美妆护肤,2025-01-01 03:11:26
14094.0,fav,食品饮料,2025-01-01 03:12:21
10031.0,fav,电子产品,2025-01-01 03:13:36
11191.0,cart,运动户外,2025-01-01 03:14:44
14006.0,cart,食品饮料,2025-01-01 03:19:27
12282.0,fav,服装鞋帽,2025-01-01 03:24:33
10244.0,pv,美妆护肤,2025-01-01 03:25:30
