user_id,behavior_type,timestamp,category
,fav,2023-01-01 00:01:00,Electronics
user_00475,pv,2023-01-01 00:15:01,Automotive
user_00690,pv,2023-01-01 00:23:13,Automotive
user_00026,buy,2023-01-01 00:30:18,Toys
user_00602,pv,2023-01-01 00:53:12,Sports
user_00262,pv,2023-01-01 00:56:36,Clothing
user_00129,cart,2023-01-01 01:28:32,Beauty
user_00908,pv,2023-01-01 01:43:11,Home
user_00529,pv,2023-01-01 01:45:38,Food
user_00663,buy,2023-01-01 01:57:54,Home
user_00425,pv,2023-01-01 02:00:40,Sports
user_00093,pv,2023-01-01 02:01:01,Automotive
user_00897,fav,2023-01-01 02:08:33,Sports
user_00901,pv,2023-01-01 02:11:27,Clothing
user_00941,pv,2023-01-01 02:15:39,Toys
user_00070,pv,2023-01-01 02:28:07,Books
user_00512,fav,2023-01-01 02:42:29,Electronics
,pv,2023-01-01 02:49:10,Sports
user_00806,buy,2023-01-01 03:00:38,Books
user_00875,fav,2023-01-01 03:29:33,Toys
user_00230,pv,2023-01-01 03:39:21,Clothing
user_00957,pv,2023-01-01 03:47:03,Jewelry
user_00875,pv,2023-01-01 03:53:19,Automotive
user_00776,pv,2023-01-01 04:02:00,Home
user_00119,pv,2023-01-01 04:10:22,Food
user_00273,pv,2023-01-01 04:37:20,Books
user_00789,fav,2023-01-01 04:46:09,Jewelry
user_00431,cart,2023-01-01 05:04:51,
user_00115,pv,2023-01-01 05:06:26,
user_00072,pv,2023-01-01 05:23:25,Automotive
user_00147,pv,2023-01-01 05:26:07,Clothing
user_00064,cart,2023-01-01 05:34:16,Electronics
user_00245,buy,2023-01-01 05:35:37,Books
user_00984,pv,2023-01-01 05:36:42,Beauty
user_00233,fav,2023-01-01 05:51:19,Toys
user_00051,pv,2023-01-01 05:52:34,Food
user_00331,cart,2023-01-01 05:54:23,Home
user_00502,fav,2023-01-01 06:03:56,Home
user_00948,pv,2023-01-01 06:08:16,Electronics
user_00272,cart,2023-01-01 06:12:22,Home
user_00030,pv,2023-01-01 06:13:35,Food
user_00848,pv,2023-01-01 06:36:05,Beauty
user_00655,fav,2023-01-01 06:54:48,Books
user_00087,pv,2023-01-01 07:01:31,Sports
user_00801,fav,2023-01-01 07:16:16,Jewelry
user_00726,cart,2023-01-01 07:24:41,Electronics
user_00064,pv,2023-01-01 07:27:00,Home
user_00709,pv,2023-01-01 07:46:13,Electronics
user_00565,fav,2023-01-01 07:48:50,Automotive
user_00295,buy,2023-01-01 07:57:50,Books
user_00923,pv,2023-01-01 08:10:01,Toys
,fav,2023-01-01 08:24:52,Books
user_00142,pv,2023-01-01 08:26:53,Books
user_00183,buy,2023-01-01 08:32:09,Sports
user_00727,pv,2023-01-01 08:42:54,Food
user_00799,fav,2023-01-01 09:02:30,Automotive
user_00187,cart,2023-01-01 09:09:57,Books
user_00626,cart,2023-01-01 09:15:34,Electronics
user_00624,pv,2023-01-01 09:17:45,Beauty
user_00012,fav,2023-01-01 09:29:03,Sports
user_00735,pv,2023-01-01 09:32:57,Home
user_00047,buy,2023-01-01 09:51:51,Toys
user_00200,cart,2023-01-01 09:56:12,Sports
user_00228,pv,2023-01-01 10:24:01,Jewelry
user_00327,pv,2023-01-01 10:27:24,Toys
user_00334,pv,2023-01-01 10:42:08,Books
user_00885,fav,2023-01-01 10:48:29,Clothing
user_00482,pv,2023-01-01 10:54:21,Food
user_00626,buy,2023-01-01 10:54:36,Electronics
user_00539,cart,2023-01-01 11:12:26,Sports
user_00754,cart,2023-01-01 11:18:57,Automotive
