timestamp,station_id,weather,temperature,humidity,wind_speed,ridership
2023-01-01 00:00:00,7,晴天,12.4,62.7,2.8,13
2023-01-01 01:00:00,4,晴天,12.5,45.2,3.4,37
2023-01-01 02:00:00,8,阴天,9.8,66.6,6.0,12
2023-01-01 03:00:00,5,晴天,10.2,78.3,6.2,21
2023-01-01 04:00:00,7,大雨,13.5,94.8,5.9,5
2023-01-01 05:00:00,10,多云,19.6,54.7,0.5,20
2023-01-01 06:00:00,3,多云,14.3,73.2,0.9,13
2023-01-01 07:00:00,7,晴天,14.9,87.8,2.1,170
2023-01-01 08:00:00,8,大雨,21.0,38.3,1.3,16
2023-01-01 09:00:00,5,多云,18.7,87.0,0.4,155
2023-01-01 10:00:00,4,多云,21.9,63.0,1.0,113
2023-01-01 11:00:00,8,小雨,24.3,61.1,11.1,45
2023-01-01 12:00:00,8,小雨,14.3,51.9,1.3,50
2023-01-01 13:00:00,3,阴天,19.7,54.5,1.6,89
2023-01-01 14:00:00,6,多云,18.6,48.8,0.0,82
2023-01-01 15:00:00,5,多云,15.6,45.7,3.8,103
2023-01-01 16:00:00,2,阴天,11.7,66.7,1.6,72
2023-01-01 17:00:00,8,小雨,11.5,76.7,0.3,87
2023-01-01 18:00:00,6,晴天,15.3,44.3,10.4,276
2023-01-01 19:00:00,2,晴天,12.1,49.6,4.5,214
2023-01-01 20:00:00,5,大雨,10.1,63.8,3.9,1
2023-01-01 21:00:00,1,多云,11.7,43.3,9.5,32
2023-01-01 22:00:00,10,小雨,8.6,63.7,1.6,2
2023-01-01 23:00:00,6,多云,14.0,56.0,3.8,25
2023-01-02 00:00:00,9,晴天,8.1,35.4,0.7,25
2023-01-02 01:00:00,1,小雨,14.7,67.1,3.6,23
2023-01-02 02:00:00,10,晴天,10.6,51.6,0.0,30
2023-01-02 03:00:00,3,多云,,75.4,0.4,13
2023-01-02 04:00:00,7,多云,10.3,57.1,1.7,26
2023-01-02 05:00:00,4,多云,18.2,49.3,0.0,74
2023-01-02 06:00:00,9,小雨,17.1,59.5,1.9,18
2023-01-02 07:00:00,3,大雨,14.0,78.6,2.2,59
2023-01-02 08:00:00,5,大雨,17.9,87.6,2.9,54
2023-01-02 09:00:00,3,晴天,11.5,68.9,0.3,303
2023-01-02 10:00:00,7,晴天,15.3,51.2,0.6,224
2023-01-02 11:00:00,5,多云,17.6,60.5,2.9,167
2023-01-02 12:00:00,9,阴天,17.7,58.5,3.2,120
2023-01-02 13:00:00,7,大雨,23.5,57.7,,23
2023-01-02 14:00:00,2,大雨,13.6,56.2,2.3,20
2023-01-02 15:00:00,4,晴天,14.3,45.5,4.6,167
2023-01-02 16:00:00,9,多云,18.9,74.6,0.2,161
2023-01-02 17:00:00,2,多云,17.0,72.9,1.6,439
2023-01-02 18:00:00,10,晴天,14.0,60.3,1.2,349
2023-01-02 19:00:00,9,晴天,19.9,78.9,7.3,482
2023-01-02 20:00:00,10,阴天,14.4,68.9,0.6,42
2023-01-02 21:00:00,5,晴天,15.1,43.3,1.1,133
2023-01-02 22:00:00,2,晴天,10.5,54.7,6.9,109
2023-01-02 23:00:00,4,晴天,8.5,82.2,1.2,14
2023-01-03 00:00:00,7,阴天,8.4,54.6,2.3,49
2023-01-03 01:00:00,8,多云,13.0,49.6,0.1,39
2023-01-03 02:00:00,3,小雨,13.0,70.8,12.6,10
2023-01-03 03:00:00,1,阴天,10.8,55.8,5.2,33
2023-01-03 04:00:00,4,晴天,13.9,68.4,3.0,30
2023-01-03 05:00:00,2,小雨,16.6,59.5,0.2,38
2023-01-03 06:00:00,8,晴天,13.3,48.1,0.2,54
2023-01-03 07:00:00,4,晴天,15.3,49.6,2.4,428
2023-01-03 08:00:00,2,大雨,18.8,,1.0,74
2023-01-03 09:00:00,6,大雨,13.2,43.4,2.9,27
2023-01-03 10:00:00,6,多云,20.7,69.4,2.7,193
2023-01-03 11:00:00,10,多云,16.5,78.1,5.5,170
