date,predicted_sales,is_prediction
2024-01-01,32058.861127743923,True
2024-01-02,35127.097597818574,True
2024-01-03,35124.11128938079,True
2024-01-04,36726.828102995474,True
2024-01-05,35912.4346604543,True
2024-01-06,34906.49300655712,True
2024-01-07,38495.15988170458,True
2024-01-08,39171.64022308514,True
2024-01-09,36096.18274130405,True
2024-01-10,37070.38858514115,True
2024-01-11,37962.186210802734,True
2024-01-12,37962.51088962219,True
2024-01-13,38110.34132457874,True
2024-01-14,36926.72910939018,True
2024-01-15,39202.480302705124,True
2024-01-16,38338.952340517324,True
2024-01-17,39463.89905562771,True
2024-01-18,39262.4150073546,True
2024-01-19,37826.50095997442,True
2024-01-20,40835.06505275501,True
2024-01-21,39434.417147121036,True
2024-01-22,37509.865852954375,True
2024-01-23,36139.43314750499,True
2024-01-24,36031.02847840122,True
2024-01-25,39890.60757468305,True
2024-01-26,38374.07612249106,True
2024-01-27,35267.208328351764,True
2024-01-28,37553.84814634724,True
2024-01-29,34971.63363505599,True
2024-01-30,37668.394245093834,True
