user_id,course_id,course_category,watch_duration,quiz_score,completed,learning_efficiency,watch_duration_category,quiz_score_category,course_category_encoded
103,8,产品设计,72.67280297951821,78.580111178387,1,1.081286353014997,长,及格,0
436,87,产品设计,129.58973166416547,93.8813155351409,1,0.72445026010229,超长,优秀,0
349,78,商业管理,123.39323889483035,81.06413692079055,1,0.6569576825268756,超长,优秀,2
271,55,语言学习,20.45965613614148,75.40731836137618,1,3.6856589462670426,短,及格,5
107,27,产品设计,5.411841660052476,50.97058958222304,1,9.418342842533564,短,不及格,0
72,93,人工智能,165.46494970293946,95.76991010123909,1,0.5787927273684418,超长,优秀,1
189,53,商业管理,28.50785463367815,81.88835228659839,1,2.8724837581209877,短,优秀,2
21,39,编程开发,51.53872624532299,58.71089553996961,0,1.139160756929586,中,不及格,4
103,65,数据科学,94.21393373195153,81.60252498069208,1,0.8661407170060329,长,优秀,3
122,17,数据科学,23.52157862618075,39.85589010252357,1,1.694439350415134,短,不及格,3
467,30,数据科学,75.5616341096988,82.41484291235469,1,1.0906969230179646,长,优秀,3
215,53,人工智能,8.730606525895576,56.286796865888874,0,6.447065304326006,短,不及格,1
331,13,编程开发,20.658849017845178,47.658947848134204,1,2.3069506679687524,短,不及格,4
459,21,商业管理,9.378925802107341,70.97749193509078,0,7.567762648402686,短,及格,2
88,19,商业管理,100.03373365861309,47.42742388912663,0,0.47411429805138283,长,不及格,2
373,53,数据科学,15.11181574595534,70.6473852861204,1,4.674976309848986,短,及格,3
100,19,编程开发,75.82412339175309,54.598225396001865,1,0.7200640407519189,长,不及格,4
360,57,编程开发,172.19716808253006,61.02557495977511,1,0.35439360173527007,超长,及格,4
152,25,编程开发,45.017628114564026,69.39955723215166,1,1.5416084453390204,中,及格,4
131,86,产品设计,46.595535176942164,66.07128465497121,1,1.417974554559727,中,及格,0
150,31,产品设计,37.08611930922777,89.56045369728038,1,2.4149318653586946,中,优秀,0
309,81,数据科学,23.661731361241188,47.09415438428483,0,1.9903088102469975,短,不及格,3
258,55,编程开发,38.73632840045396,88.49945020751602,0,2.284662784968957,中,优秀,4
344,23,语言学习,55.40005862410207,52.475336798371046,1,0.9472072260287133,中,不及格,5
492,32,编程开发,186.5086559841244,100.0,1,0.5361681415598418,超长,优秀,4
414,62,商业管理,166.60983933736222,97.25237177653683,1,0.5837132523482048,超长,优秀,2
294,74,商业管理,118.89663611853751,80.71154540021763,1,0.6788379163302144,长,优秀,2
386,10,数据科学,131.9641060223006,65.33210239415385,1,0.4950747886553227,超长,及格,3
192,100,语言学习,37.84970038581924,44.9406529592352,1,1.187344980641582,中,不及格,5
